Index,Experiment,Replicate,Position,Trap,CellType,Status
106,vip_Amp,EXP2,xy03,trap3,VIP,Alive
107,vip_Amp,EXP2,xy04,trap3,VIP,Alive
108,vip_Amp,EXP1,xy44,trap1,CFP,Killed
109,vip_Amp,EXP2,xy11,trap3,CFP,Alive
110,vip_Amp,EXP2,xy02,trap1,VIP,Alive
111,vip_Amp,EXP2,xy20,trap3,VIP,Alive
112,vip_Amp,EXP2,xy14,trap5,CFP,Alive
113,vip_Amp,EXP2,xy13,trap1,VIP,Alive
114,vip_Amp,EXP2,xy44,trap1,CFP,Killed
115,vip_Amp,EXP1,xy03,trap3,CFP,Killed
116,vip_Amp,EXP2,xy10,trap6,VIP,Killed
117,vip_Amp,EXP2,xy21,trap3,VIP,Alive
118,vip_Amp,EXP2,xy23,trap2,VIP,Alive
119,vip_Amp,EXP2,xy09,trap1,VIP,Killed
120,vip_Amp,EXP2,xy12,trap7,VIP,Alive
121,vip_Amp,EXP2,xy44,trap2,CFP,Killed
122,vip_Amp,EXP1,xy01,trap3,CFP,Killed
123,vip_Amp,EXP2,xy11,trap2,VIP,Killed
124,vip_Amp,EXP2,xy21,trap4,VIP,Alive
125,vip_Amp,EXP2,xy25,trap6,VIP,Killed
126,vip_Amp,EXP2,xy21,trap4,VIP,Alive
127,vip_Amp,EXP2,xy13,trap4,VIP,Alive
128,vip_Amp,EXP2,xy37,trap2,VIP,Killed
129,vip_Amp,EXP2,xy26,trap4,VIP,Alive
130,vip_Amp,EXP2,xy36,trap1,VIP,Killed
131,vip_Amp,EXP2,xy25,trap1,VIP,Alive
132,vip_Amp,EXP1,xy14,trap3,CFP,Killed
133,vip_Amp,EXP2,xy26,trap1,VIP,Alive
134,vip_Amp,EXP2,xy14,trap7,VIP,Alive
135,vip_Amp,EXP2,xy06,trap4,VIP,Alive
136,vip_Amp,EXP2,xy12,trap1,VIP,Killed
137,vip_Amp,EXP1,xy08,trap1,CFP,Killed
138,vip_Amp,EXP2,xy22,trap2,VIP,Alive
139,vip_Amp,EXP2,xy12,trap3,VIP,Killed
140,vip_Amp,EXP2,xy12,trap8,VIP,Killed
141,vip_Amp,EXP2,xy02,trap3,VIP,Alive
142,vip_Amp,EXP2,xy15,trap5,VIP,Alive
143,vip_Amp,EXP2,xy03,trap1,VIP,Alive
144,vip_Amp,EXP2,xy22,trap8,VIP,Alive
145,vip_Amp,EXP2,xy10,trap2,VIP,Alive
146,vip_Amp,EXP2,xy29,trap1,CFP,Alive
147,vip_Amp,EXP2,xy21,trap2,VIP,Alive
148,vip_Amp,EXP2,xy21,trap7,VIP,Killed
149,vip_Amp,EXP2,xy06,trap1,VIP,Killed
150,vip_Amp,EXP2,xy24,trap7,VIP,Killed
151,vip_Amp,EXP2,xy23,trap7,VIP,Killed
152,vip_Amp,EXP2,xy28,trap1,VIP,Killed
153,vip_Amp,EXP2,xy04,trap2,VIP,Alive
154,vip_Amp,EXP2,xy13,trap3,VIP,Alive
155,vip_Amp,EXP2,xy12,trap6,VIP,Killed
156,vip_Amp,EXP2,xy24,trap2,VIP,Killed
157,vip_Amp,EXP2,xy23,trap6,VIP,Alive
158,vip_Amp,EXP2,xy18,trap3,VIP,Killed
159,vip_Amp,EXP2,xy27,trap1,VIP,Alive
160,vip_Amp,EXP2,xy32,trap1,CFP,Killed
161,vip_Amp,EXP1,xy08,trap8,CFP,Killed
162,vip_Amp,EXP2,xy19,trap1,VIP,Killed
163,vip_Amp,EXP2,xy19,trap4,VIP,Alive
164,vip_Amp,EXP2,xy25,trap4,CFP,Alive
165,vip_Amp,EXP2,xy12,trap2,VIP,Alive
166,vip_Amp,EXP2,xy11,trap1,VIP,Alive
167,vip_Amp,EXP2,xy20,trap2,VIP,Killed
168,vip_Amp,EXP2,xy21,trap8,VIP,Alive
169,vip_Amp,EXP2,xy16,trap2,VIP,Killed
170,vip_Amp,EXP2,xy22,trap7,VIP,Alive
171,vip_Amp,EXP2,xy23,trap4,VIP,Alive
172,vip_Amp,EXP2,xy42,trap1,CFP,Killed
173,vip_Amp,EXP2,xy23,trap8,VIP,Alive
174,vip_Amp,EXP2,xy12,trap5,VIP,Killed
175,vip_Amp,EXP2,xy24,trap4,VIP,Alive
176,vip_Amp,EXP2,xy22,trap3,VIP,Alive
177,vip_Amp,EXP2,xy23,trap1,VIP,Alive
178,vip_Amp,EXP1,xy30,trap4,VIP,Alive
179,vip_Amp,EXP2,xy02,trap2,VIP,Alive
180,vip_Amp,EXP2,xy06,trap2,VIP,Alive
181,vip_Amp,EXP1,xy31,trap3,CFP,Killed
182,vip_Amp,EXP2,xy26,trap2,VIP,Alive
183,vip_Amp,EXP2,xy22,trap4,VIP,Alive
184,vip_Amp,EXP2,xy27,trap4,VIP,Alive
185,vip_Amp,EXP1,xy41,trap1,CFP,Killed
186,vip_Amp,EXP2,xy48,trap1,CFP,Killed
187,vip_Amp,EXP2,xy22,trap1,VIP,Alive
188,vip_Amp,EXP2,xy11,trap4,VIP,Alive
189,vip_Amp,EXP2,xy19,trap5,VIP,Alive
190,vip_Amp,EXP2,xy09,trap3,VIP,Killed
191,vip_Amp,EXP2,xy09,trap2,VIP,Alive
192,vip_Amp,EXP2,xy14,trap6,VIP,Alive
193,vip_Amp,EXP2,xy27,trap3,VIP,Killed
194,vip_Amp,EXP2,xy14,trap8,VIP,Alive
195,vip_Amp,EXP2,xy26,trap5,CFP,Alive
196,vip_Amp,EXP2,xy19,trap7,VIP,Alive
197,vip_Amp,EXP2,xy09,trap4,CFP,Killed
198,vip_Amp,EXP2,xy21,trap5,CFP,Alive
199,vip_Amp,EXP2,xy21,trap6,VIP,Alive
200,vip_Amp,EXP2,xy18,trap2,VIP,Killed
201,vip_Amp,EXP2,xy21,trap1,VIP,Killed
202,vip_Amp,EXP2,xy14,trap4,VIP,Killed
203,vip_Amp,EXP2,xy17,trap3,VIP,Killed
204,vip_Amp,EXP2,xy22,trap5,VIP,Alive
205,vip_Amp,EXP2,xy14,trap3,VIP,Alive
206,vip_Amp,EXP2,xy25,trap5,VIP,Alive
207,vip_Amp,EXP2,xy15,trap1,VIP,Alive
208,vip_Amp,EXP2,xy19,trap9,VIP,Alive
209,vip_Amp,EXP2,xy17,trap4,VIP,Killed
210,vip_Amp,EXP2,xy06,trap3,VIP,Alive
211,vip_Amp,EXP1,xy13,trap1,CFP,Killed
212,vip_Amp,EXP2,xy15,trap4,VIP,Killed
213,vip_Amp,EXP2,xy02,trap4,VIP,Alive
214,vip_Amp,EXP2,xy20,trap4,CFP,Alive
215,vip_Amp,EXP2,xy10,trap5,VIP,Alive
216,vip_Amp,EXP2,xy26,trap3,VIP,Alive
217,vip_Amp,EXP2,xy15,trap6,VIP,Alive
218,vip_Amp,EXP2,xy17,trap5,VIP,Alive
219,vip_Amp,EXP1,xy16,trap1,CFP,Killed
220,vip_Amp,EXP2,xy27,trap2,VIP,Alive
221,vip_Amp,EXP1,xy38,trap1,CFP,Killed
222,vip_Amp,EXP2,xy49,trap1,VIP,Killed
223,vip_Amp,EXP2,xy14,trap2,CFP,Killed
224,vip_Amp,EXP2,xy23,trap3,VIP,Killed
225,vip_Amp,EXP2,xy12,trap4,VIP,Alive
226,vip_Amp,EXP2,xy19,trap8,VIP,Killed
227,vip_Amp,EXP2,xy25,trap3,VIP,Killed
228,vip_Amp,EXP2,xy18,trap1,VIP,Alive
229,vip_Amp,EXP2,xy19,trap6,CFP,Killed
230,vip_Amp,EXP2,xy24,trap1,VIP,Killed
231,vip_Amp,EXP2,xy17,trap2,VIP,Alive
232,vip_Amp,EXP2,xy37,trap1,CFP,Killed
233,vip_Amp,EXP2,xy10,trap3,VIP,Alive
234,vip_Amp,EXP2,xy13,trap2,VIP,Alive
235,vip_Amp,EXP2,xy19,trap3,VIP,Alive
236,vip_Amp,EXP1,xy07,trap4,CFP,Killed
237,vip_Amp,EXP2,xy03,trap2,VIP,Alive
238,vip_Amp,EXP2,xy15,trap2,VIP,Killed
239,vip_Amp,EXP2,xy18,trap4,CFP,Killed
240,vip_Amp,EXP2,xy20,trap5,VIP,Killed
