Index,Experiment,Replicate,Position,Trap,CellType
118,VIP_Cd,EXP2,xy05,trap6,VIP
119,VIP_Cd,EXP2,xy05,trap7,VIP
120,VIP_Cd,EXP2,xy05,trap8,VIP
121,VIP_Cd,EXP2,xy05,trap9,CFP
122,VIP_Cd,EXP2,xy05,trap10,VIP
123,VIP_Cd,EXP2,xy05,trap11,VIP
124,VIP_Cd,EXP2,xy05,trap12,CFP
125,VIP_Cd,EXP2,xy05,trap13,VIP
126,VIP_Cd,EXP2,xy05,trap14,CFP
127,VIP_Cd,EXP2,xy06,trap1,VIP
128,VIP_Cd,EXP2,xy06,trap2,VIP
129,VIP_Cd,EXP2,xy06,trap3,VIP
130,VIP_Cd,EXP2,xy06,trap4,CFP
131,VIP_Cd,EXP2,xy06,trap5,VIP
132,VIP_Cd,EXP2,xy06,trap6,CFP
133,VIP_Cd,EXP2,xy06,trap7,VIP
134,VIP_Cd,EXP2,xy06,trap8,VIP
135,VIP_Cd,EXP2,xy06,trap9,CFP
136,VIP_Cd,EXP2,xy06,trap10,VIP
137,VIP_Cd,EXP2,xy06,trap11,VIP
138,VIP_Cd,EXP2,xy06,trap12,VIP
139,VIP_Cd,EXP2,xy07,trap1,VIP
140,VIP_Cd,EXP2,xy07,trap2,VIP
141,VIP_Cd,EXP2,xy07,trap3,CFP
142,VIP_Cd,EXP2,xy07,trap4,VIP
143,VIP_Cd,EXP2,xy07,trap5,CFP
144,VIP_Cd,EXP2,xy07,trap6,VIP
145,VIP_Cd,EXP2,xy08,trap1,CFP
146,VIP_Cd,EXP2,xy08,trap2,VIP
147,VIP_Cd,EXP2,xy08,trap3,VIP
148,VIP_Cd,EXP2,xy08,trap4,VIP
149,VIP_Cd,EXP2,xy08,trap5,VIP
150,VIP_Cd,EXP2,xy08,trap6,VIP
151,VIP_Cd,EXP2,xy08,trap7,VIP
152,VIP_Cd,EXP2,xy08,trap8,VIP
153,VIP_Cd,EXP2,xy08,trap9,VIP
154,VIP_Cd,EXP2,xy08,trap10,CFP
155,VIP_Cd,EXP2,xy09,trap1,VIP
156,VIP_Cd,EXP2,xy09,trap2,CFP
157,VIP_Cd,EXP2,xy09,trap3,VIP
158,VIP_Cd,EXP2,xy09,trap4,VIP
159,VIP_Cd,EXP2,xy09,trap5,CFP
160,VIP_Cd,EXP2,xy09,trap6,CFP
161,VIP_Cd,EXP2,xy09,trap7,VIP
162,VIP_Cd,EXP2,xy09,trap8,CFP
163,VIP_Cd,EXP2,xy09,trap9,VIP
164,VIP_Cd,EXP2,xy09,trap10,VIP
165,VIP_Cd,EXP2,xy09,trap11,VIP
166,VIP_Cd,EXP2,xy10,trap1,CFP
167,VIP_Cd,EXP2,xy10,trap2,VIP
168,VIP_Cd,EXP2,xy10,trap3,VIP
169,VIP_Cd,EXP2,xy10,trap4,CFP
170,VIP_Cd,EXP2,xy10,trap5,VIP
171,VIP_Cd,EXP2,xy10,trap6,VIP
172,VIP_Cd,EXP2,xy10,trap7,VIP
173,VIP_Cd,EXP2,xy10,trap8,VIP
174,VIP_Cd,EXP2,xy10,trap9,VIP
175,VIP_Cd,EXP2,xy10,trap10,VIP
176,VIP_Cd,EXP2,xy11,trap1,VIP
177,VIP_Cd,EXP2,xy11,trap2,VIP
178,VIP_Cd,EXP2,xy11,trap3,CFP
179,VIP_Cd,EXP2,xy11,trap4,VIP
180,VIP_Cd,EXP2,xy11,trap5,VIP
181,VIP_Cd,EXP2,xy11,trap6,VIP
182,VIP_Cd,EXP2,xy11,trap7,VIP
183,VIP_Cd,EXP2,xy11,trap8,CFP
184,VIP_Cd,EXP2,xy11,trap9,VIP
185,VIP_Cd,EXP2,xy11,trap10,CFP
186,VIP_Cd,EXP2,xy12,trap1,VIP
187,VIP_Cd,EXP2,xy12,trap2,VIP
188,VIP_Cd,EXP2,xy12,trap3,CFP
189,VIP_Cd,EXP2,xy12,trap4,CFP
190,VIP_Cd,EXP2,xy12,trap5,VIP
