time,replicate,stress,dose,units,strain,OD_value
10.33333333,rep1,AMP,0,ug/mL,MC1061,0.57
10.33333333,rep2,AMP,0,ug/mL,MC1061,0.585
10.33333333,rep3,AMP,0,ug/mL,MC1061,0.534
10.66666667,rep1,AMP,0,ug/mL,MC1061,0.567
10.66666667,rep2,AMP,0,ug/mL,MC1061,0.581
10.66666667,rep3,AMP,0,ug/mL,MC1061,0.533
11,rep1,AMP,0,ug/mL,MC1061,0.565
11,rep2,AMP,0,ug/mL,MC1061,0.578
11,rep3,AMP,0,ug/mL,MC1061,0.533
11.33333333,rep1,AMP,0,ug/mL,MC1061,0.564
11.33333333,rep2,AMP,0,ug/mL,MC1061,0.574
11.33333333,rep3,AMP,0,ug/mL,MC1061,0.532
11.66666667,rep1,AMP,0,ug/mL,MC1061,0.562
11.66666667,rep2,AMP,0,ug/mL,MC1061,0.572
11.66666667,rep3,AMP,0,ug/mL,MC1061,0.532
12,rep1,AMP,0,ug/mL,MC1061,0.56
12,rep2,AMP,0,ug/mL,MC1061,0.569
12,rep3,AMP,0,ug/mL,MC1061,0.532
12.33333333,rep1,AMP,0,ug/mL,MC1061,0.554
12.33333333,rep2,AMP,0,ug/mL,MC1061,0.566
12.33333333,rep3,AMP,0,ug/mL,MC1061,0.533
12.66666667,rep1,AMP,0,ug/mL,MC1061,0.553
12.66666667,rep2,AMP,0,ug/mL,MC1061,0.563
12.66666667,rep3,AMP,0,ug/mL,MC1061,0.533
13,rep1,AMP,0,ug/mL,MC1061,0.55
13,rep2,AMP,0,ug/mL,MC1061,0.561
13,rep3,AMP,0,ug/mL,MC1061,0.534
13.33333333,rep1,AMP,0,ug/mL,MC1061,0.546
13.33333333,rep2,AMP,0,ug/mL,MC1061,0.559
13.33333333,rep3,AMP,0,ug/mL,MC1061,0.534
13.66666667,rep1,AMP,0,ug/mL,MC1061,0.545
13.66666667,rep2,AMP,0,ug/mL,MC1061,0.557
13.66666667,rep3,AMP,0,ug/mL,MC1061,0.535
14,rep1,AMP,0,ug/mL,MC1061,0.544
14,rep2,AMP,0,ug/mL,MC1061,0.555
14,rep3,AMP,0,ug/mL,MC1061,0.536
14.33333333,rep1,AMP,0,ug/mL,MC1061,0.543
14.33333333,rep2,AMP,0,ug/mL,MC1061,0.554
14.33333333,rep3,AMP,0,ug/mL,MC1061,0.538
14.66666667,rep1,AMP,0,ug/mL,MC1061,0.541
14.66666667,rep2,AMP,0,ug/mL,MC1061,0.553
14.66666667,rep3,AMP,0,ug/mL,MC1061,0.54
15,rep1,AMP,0,ug/mL,MC1061,0.541
15,rep2,AMP,0,ug/mL,MC1061,0.551
15,rep3,AMP,0,ug/mL,MC1061,0.542
15.33333333,rep1,AMP,0,ug/mL,MC1061,0.539
15.33333333,rep2,AMP,0,ug/mL,MC1061,0.551
15.33333333,rep3,AMP,0,ug/mL,MC1061,0.545
15.66666667,rep1,AMP,0,ug/mL,MC1061,0.539
15.66666667,rep2,AMP,0,ug/mL,MC1061,0.549
15.66666667,rep3,AMP,0,ug/mL,MC1061,0.548
16,rep1,AMP,0,ug/mL,MC1061,0.537
16,rep2,AMP,0,ug/mL,MC1061,0.548
