propidium_iodide,cell_length,time,state,PI_classification,experiment
-0.8613800392,970.9268188,120,VIP205,alive,exp1
-1.320885006,2482.101563,120,VIP205,alive,exp1
-1.273906991,991.0897217,120,VIP205,alive,exp1
-0.3006950922,935.2105713,120,VIP205,alive,exp1
-0.9245044867,1036.853882,120,VIP205,alive,exp1
-0.3015046726,967.9093628,120,VIP205,alive,exp1
-0.8050444291,1705.537964,120,VIP205,alive,exp1
-0.7962239034,1110.566528,120,VIP205,alive,exp1
-0.5168443348,2088.682373,120,VIP205,alive,exp1
-1.380303689,908.281311,120,VIP205,alive,exp1
-0.2096613563,1095.391846,120,VIP205,alive,exp1
5.01E-04,1173.030396,120,VIP205,dead,exp1
-0.4170530637,1526.49585,120,VIP205,alive,exp1
-1.268737248,982.8711548,120,VIP205,alive,exp1
-0.7901530176,1135.940063,120,VIP205,alive,exp1
-1.204552048,956.5671997,120,VIP205,alive,exp1
-0.8991078818,1046.472656,120,VIP205,alive,exp1
-1.864989864,2355.536133,120,VIP205,alive,exp1
-0.564664192,1330.053589,120,VIP205,alive,exp1
0.02707022363,1440.451294,120,VIP205,dead,exp1
-0.01611596329,1526.933594,120,VIP205,alive,exp1
-0.5341244678,1105.710693,120,VIP205,alive,exp1
-0.4363155117,2241.534668,120,VIP205,alive,exp1
-0.1334596792,1201.044434,120,VIP205,alive,exp1
-0.2826084042,1149.755371,120,VIP205,alive,exp1
0.1112967291,1018.321472,120,VIP205,dead,exp1
-0.1497336279,1737.891724,120,VIP205,alive,exp1
0.2464133425,1577.641846,120,VIP205,dead,exp1
-0.04802550815,1522.128296,120,VIP205,alive,exp1
0.3108072341,1922.318726,120,VIP205,dead,exp1
-0.2859741175,1858.657227,120,VIP205,alive,exp1
-0.7029448363,1016.35968,120,VIP205,alive,exp1
-0.6808343257,1370.406616,120,VIP205,alive,exp1
-1.10510241,876.338562,120,VIP205,alive,exp1
0.01067011861,1709.743286,120,VIP205,dead,exp1
-0.3018367404,1880.57605,120,VIP205,alive,exp1
0.3755199393,1212.725342,120,VIP205,dead,exp1
0.07610554772,1484.48938,120,VIP205,dead,exp1
-1.021368395,871.638916,120,VIP205,alive,exp1
-1.469381587,1742.655273,120,VIP205,alive,exp1
0.1124911043,1371.104858,120,VIP205,dead,exp1
-1.418437821,946.5367432,120,VIP205,alive,exp1
-1.593925007,1070.361572,120,VIP205,alive,exp1
-2.07176541,1048.14856,120,VIP205,alive,exp1
-0.2063284444,1001.521606,120,VIP205,alive,exp1
-0.379555246,977.5662842,120,VIP205,alive,exp1
-0.9478774369,1076.109253,120,VIP205,alive,exp1
-0.5856225396,2163.304688,120,VIP205,alive,exp1
-1.188889662,1040.40271,120,VIP205,alive,exp1
-0.4643487287,1281.208374,120,VIP205,alive,exp1
-1.079285451,936.5606689,120,VIP205,alive,exp1
0.05503151641,1307.875,120,VIP205,dead,exp1
-1.334292083,1165.814697,120,VIP205,alive,exp1
0.2397194806,1501.942139,120,VIP205,dead,exp1
-0.6578209482,2099.945801,120,VIP205,alive,exp1
-0.1022728293,1090.113281,120,VIP205,alive,exp1
-0.399268788,1812.61499,120,VIP205,alive,exp1
-0.7109969599,1054.30127,120,VIP205,alive,exp1
-1.501094776,1372.278442,120,VIP205,alive,exp1
-1.900358353,898.3318481,120,VIP205,alive,exp1
0.03482342241,3276.299805,120,VIP205,dead,exp1
-1.402859498,5282.576172,120,VIP205,alive,exp1
-0.3424705863,888.3502197,120,VIP205,alive,exp1
-0.8430758135,1289.116455,120,VIP205,alive,exp1
-1.125995242,1271.04834,120,VIP205,alive,exp1
-0.2724762509,968.7824707,120,VIP205,alive,exp1
-0.03994342606,1734.022095,120,VIP205,alive,exp1
-1.347213334,953.3121338,120,VIP205,alive,exp1
-1.440967563,913.9038696,120,VIP205,alive,exp1
-1.254701339,2231.367432,120,VIP205,alive,exp1
-2.129158539,1020.400024,120,VIP205,alive,exp1
0.2217706649,1131.295166,120,VIP205,dead,exp1
0.1539991739,1267.894043,120,VIP205,dead,exp1
-0.5484819597,1612.773804,120,VIP205,alive,exp1
-0.5796682269,1302.138184,120,VIP205,alive,exp1
-1.504239095,1736.514038,120,VIP205,alive,exp1
0.1566661088,1337.998779,120,VIP205,dead,exp1
0.2743483916,2023.614624,120,VIP205,dead,exp1
-0.05314782281,992.3527222,120,VIP205,alive,exp1
-1.240215466,1216.612183,120,VIP205,alive,exp1
-1.596018362,5849.575684,120,VIP205,alive,exp1
-0.2245162566,1251.38269,120,VIP205,alive,exp1
-1.070050578,954.2924194,120,VIP205,alive,exp1
-0.6060655188,1379.597656,120,VIP205,alive,exp1
-0.859729914,946.8138428,120,VIP205,alive,exp1
-1.428588264,2861.608398,120,VIP205,alive,exp1
-0.2548009931,1518.033325,120,VIP205,alive,exp1
-0.8255573531,1138.480225,120,VIP205,alive,exp1
-0.1824565268,1554.923096,120,VIP205,alive,exp1
-0.08522164767,1436.066895,120,VIP205,alive,exp1
-0.4185775347,948.7367554,120,VIP205,alive,exp1
0.35673205,1371.054688,120,VIP205,dead,exp1
-0.2840809379,1218.571045,120,VIP205,alive,exp1
-0.8216009954,1424.642944,120,VIP205,alive,exp1
-1.602037422,6058.285156,120,VIP205,alive,exp1
-0.5103329008,920.0119019,120,VIP205,alive,exp1
-1.041392707,917.2350464,120,VIP205,alive,exp1
-0.223731775,1883.758301,120,VIP205,alive,exp1
-0.7220320416,982.3912964,120,VIP205,alive,exp1
-0.4903886274,1573.047852,120,VIP205,alive,exp1
0.5814211563,1228.067017,120,VIP205,dead,exp1
-0.6203752159,2107.147705,120,VIP205,alive,exp1
-0.9956347963,1483.276001,120,VIP205,alive,exp1
0.5600913572,1379.15979,120,VIP205,dead,exp1
-0.8129162072,1051.914917,120,VIP205,alive,exp1
