propidium_iodide,cell_length,time,state,PI_classification,experiment
1.18351378,921.7175903,120,VIP205+IPTG,dead,exp3
1.644525641,1073.937988,120,VIP205+IPTG,dead,exp3
0.9181266572,853.0801392,120,VIP205+IPTG,dead,exp3
1.091019616,913.8810425,120,VIP205+IPTG,dead,exp3
1.50665684,1213.431885,120,VIP205+IPTG,dead,exp3
1.780895636,1444.769043,120,VIP205+IPTG,dead,exp3
1.489242938,1080.7854,120,VIP205+IPTG,dead,exp3
1.677863605,1543.592773,120,VIP205+IPTG,dead,exp3
0.5359381601,940.7438354,120,VIP205+IPTG,dead,exp3
1.29016987,914.614624,120,VIP205+IPTG,dead,exp3
0.9337308936,871.7055054,120,VIP205+IPTG,dead,exp3
1.182513163,1211.917603,120,VIP205+IPTG,dead,exp3
1.362947553,1381.468628,120,VIP205+IPTG,dead,exp3
1.446680632,1006.301331,120,VIP205+IPTG,dead,exp3
0.6060022073,881.7670288,120,VIP205+IPTG,dead,exp3
0.9613218233,1231.842163,120,VIP205+IPTG,dead,exp3
0.9657534081,980.2772217,120,VIP205+IPTG,dead,exp3
1.203308988,1015.956055,120,VIP205+IPTG,dead,exp3
0.274467657,1095.654297,120,VIP205+IPTG,dead,exp3
1.718014444,1064.633179,120,VIP205+IPTG,dead,exp3
1.223166063,1005.952087,120,VIP205+IPTG,dead,exp3
0.8685562674,965.8077393,120,VIP205+IPTG,dead,exp3
0.9395921817,932.1239014,120,VIP205+IPTG,dead,exp3
0.8526796305,1063.379028,120,VIP205+IPTG,dead,exp3
0.3996984451,1160.153076,120,VIP205+IPTG,dead,exp3
0.7624021108,933.4575806,120,VIP205+IPTG,dead,exp3
1.96920454,1071.831421,120,VIP205+IPTG,dead,exp3
0.02671150276,919.3309937,120,VIP205+IPTG,dead,exp3
1.603335775,1209.002197,120,VIP205+IPTG,dead,exp3
-1.109539341,925.6555176,120,VIP205+IPTG,alive,exp3
0.724144831,977.3439331,120,VIP205+IPTG,dead,exp3
