propidium_iodide,cell_length,time,state,PI_classification,experiment
-1.81249319,1882.008301,120,VIP205,alive,exp2
0.5169793892,4475.276855,120,VIP205,dead,exp2
1.033689005,1516.623657,120,VIP205,dead,exp2
0.3096741891,2785.855469,120,VIP205,dead,exp2
-0.02514625575,1254.310791,120,VIP205,alive,exp2
-0.728976482,4593.955566,120,VIP205,alive,exp2
0.4257380284,3444.337402,120,VIP205,dead,exp2
0.4869911582,1033.138428,120,VIP205,dead,exp2
-1.245606202,2048.412354,120,VIP205,alive,exp2
0.4258187375,1026.473755,120,VIP205,dead,exp2
0.1497819757,1774.248657,120,VIP205,dead,exp2
-2.361300848,1980.192139,120,VIP205,alive,exp2
0.1120622103,3415.278076,120,VIP205,dead,exp2
0.1655494302,2270.119629,120,VIP205,dead,exp2
0.2065984331,1482.749634,120,VIP205,dead,exp2
-1.004527303,1175.298218,120,VIP205,alive,exp2
-0.5393972861,5265.719238,120,VIP205,alive,exp2
-0.776870011,1919.877686,120,VIP205,alive,exp2
-0.7227155361,986.0245972,120,VIP205,alive,exp2
0.2515703676,1039.083374,120,VIP205,dead,exp2
-0.4924141263,1279.015381,120,VIP205,alive,exp2
0.4731226026,1431.489258,120,VIP205,dead,exp2
0.2594239192,954.7833862,120,VIP205,dead,exp2
-0.1796095923,1338.735107,120,VIP205,alive,exp2
0.4032572408,3893.809082,120,VIP205,dead,exp2
-0.08149397773,1259.821045,120,VIP205,alive,exp2
-1.544956296,851.4697266,120,VIP205,alive,exp2
-1.040121335,1886.030762,120,VIP205,alive,exp2
-0.5644353461,2323.391113,120,VIP205,alive,exp2
-0.8053820931,1016.786255,120,VIP205,alive,exp2
0.3312803103,1354.422485,120,VIP205,dead,exp2
0.3581488842,1045.468384,120,VIP205,dead,exp2
0.1901168981,1644.822998,120,VIP205,dead,exp2
-1.463824866,878.8276367,120,VIP205,alive,exp2
-0.334737826,1634.42395,120,VIP205,alive,exp2
-0.2743545243,983.1530762,120,VIP205,alive,exp2
-0.07753853175,1765.50647,120,VIP205,alive,exp2
0.2188530172,1071.654541,120,VIP205,dead,exp2
1.068436781,1300.831543,120,VIP205,dead,exp2
-0.2958580327,1429.644775,120,VIP205,alive,exp2
-0.1199977718,955.4135132,120,VIP205,alive,exp2
-0.1108380943,1037.675903,120,VIP205,alive,exp2
-0.2708631471,955.9980469,120,VIP205,alive,exp2
0.3967973826,1596.48645,120,VIP205,dead,exp2
-0.2382017258,1213.817139,120,VIP205,alive,exp2
0.4034009115,1076.473999,120,VIP205,dead,exp2
0.501586116,2381.498779,120,VIP205,dead,exp2
0.08362502509,1326.62854,120,VIP205,dead,exp2
-0.8903053197,868.0506592,120,VIP205,alive,exp2
0.07874593896,963.3417969,120,VIP205,dead,exp2
0.1209361355,1106.643311,120,VIP205,dead,exp2
0.8187399314,1508.681519,120,VIP205,dead,exp2
0.2679920535,1570.554443,120,VIP205,dead,exp2
0.1178751252,3111.521973,120,VIP205,dead,exp2
0.2657918998,1080.065552,120,VIP205,dead,exp2
-1.404790404,3842.509766,120,VIP205,alive,exp2
-0.5465642719,4008.11377,120,VIP205,alive,exp2
0.09577623642,1130.266846,120,VIP205,dead,exp2
0.2639563583,996.4626465,120,VIP205,dead,exp2
0.4691968539,1295.899048,120,VIP205,dead,exp2
-0.1354258247,4261.805664,120,VIP205,alive,exp2
-0.4760901719,1910.32019,120,VIP205,alive,exp2
-0.5802067771,1080.084717,120,VIP205,alive,exp2
-1.676068773,3374.671143,120,VIP205,alive,exp2
0.03416785733,1364.974121,120,VIP205,dead,exp2
0.8559992893,1138.952393,120,VIP205,dead,exp2
-1.109731553,1726.024536,120,VIP205,alive,exp2
-0.2680328357,1429.136475,120,VIP205,alive,exp2
-0.3168983826,1035.415527,120,VIP205,alive,exp2
1.045093247,3507.704102,120,VIP205,dead,exp2
0.4356821439,1187.276245,120,VIP205,dead,exp2
-0.2375624157,1398.941772,120,VIP205,alive,exp2
-0.3687313031,1431.42041,120,VIP205,alive,exp2
0.7225324698,2246.007568,120,VIP205,dead,exp2
0.1776614529,972.4716187,120,VIP205,dead,exp2
-0.3688433156,1250.864014,120,VIP205,alive,exp2
0.4037942894,3037.706543,120,VIP205,dead,exp2
-0.2983921783,1930.705566,120,VIP205,alive,exp2
0.8081703844,1278.12207,120,VIP205,dead,exp2
-0.07285724076,2121.217773,120,VIP205,alive,exp2
0.05441077221,921.2676392,120,VIP205,dead,exp2
0.06435631141,1229.309326,120,VIP205,dead,exp2
-0.6352546583,1090.444946,120,VIP205,alive,exp2
-1.746300826,1077.005737,120,VIP205,alive,exp2
-0.6690269205,1144.119019,120,VIP205,alive,exp2
0.2720394405,1491.306641,120,VIP205,dead,exp2
-0.1883837182,1493.976807,120,VIP205,alive,exp2
0.2173839114,2254.427734,120,VIP205,dead,exp2
-0.442204627,6429.81543,120,VIP205,alive,exp2
-0.9510226292,1398.506836,120,VIP205,alive,exp2
0.1203251453,1390.557007,120,VIP205,dead,exp2
0.1588936033,1485.736084,120,VIP205,dead,exp2
-0.9419517047,1537.787964,120,VIP205,alive,exp2
-0.9955146957,2982.537354,120,VIP205,alive,exp2
-0.2078352187,1736.741089,120,VIP205,alive,exp2
0.6170697202,1070.486206,120,VIP205,dead,exp2
-0.5152701092,1137.744995,120,VIP205,alive,exp2
-1.494773273,2139.590576,120,VIP205,alive,exp2
0.515777194,1265.112305,120,VIP205,dead,exp2
-1.437036912,1227.446777,120,VIP205,alive,exp2
-0.08080085024,973.3105469,120,VIP205,alive,exp2
-0.2864523479,1145.359985,120,VIP205,alive,exp2
-0.4392358117,1123.528564,120,VIP205,alive,exp2
-0.5643479012,3302.946533,120,VIP205,alive,exp2
